SerialNumber;ECID;OS Version;SaveDate;filename;path;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.4;Tue Feb 26 09:40:10 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.4-16D57_1cfd4442936a6ddda299ace81c9b4b35f9d2be01.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.4/5758263475359526_iPhone8,4_n69ap_12.1.4-16D57_1cfd4442936a6ddda299ace81c9b4b35f9d2be01.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.4;Tue Feb 26 09:40:12 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.4-16D57_057f4be42272d86da95308e82f22cb13e4142a7f.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.4/5085876948834342_iPhone7,2_n61ap_12.1.4-16D57_057f4be42272d86da95308e82f22cb13e4142a7f.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.4;Tue Feb 26 09:40:14 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.4-16D57_5807a378848b10d4e851f640a7103daf3200c1c0.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.4/6286902831272_iPhone8,1_n71ap_12.1.4-16D57_5807a378848b10d4e851f640a7103daf3200c1c0.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.4;Tue Feb 26 09:40:15 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.4-16D57_552f74ebef5249d6880fb4b30f77841af7d7f598.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.4/3915126213356_iPhone8,1_n71ap_12.1.4-16D57_552f74ebef5249d6880fb4b30f77841af7d7f598.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.4;Tue Feb 26 09:40:17 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.4-16D57_928b4bf9afbc12c3618dc6ef9baeeffd04823018.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.4/4903967378216_iPhone8,1_n71ap_12.1.4-16D57_928b4bf9afbc12c3618dc6ef9baeeffd04823018.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.4;Tue Feb 26 09:40:20 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.4-16D57_3e394c6e44b4e971e1e338ed905d42fd12117e90.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.4/8537450375840294_iPhone8,1_n71map_12.1.4-16D57_3e394c6e44b4e971e1e338ed905d42fd12117e90.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.4;Tue Feb 26 09:40:22 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.4-16D57_492af4a6c3315196d59e5beb27455e3b5e54aede.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.4/4615080403266598_iPhone8,1_n71map_12.1.4-16D57_492af4a6c3315196d59e5beb27455e3b5e54aede.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.4;Tue Feb 26 09:40:24 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_8d6e2fa9d6d09a537cd23366d86c0c7e48842e53.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.4/7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_8d6e2fa9d6d09a537cd23366d86c0c7e48842e53.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.3;Wed Feb 27 15:24:30 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.3-16D39_676c567f44ba05c7ddb0b2ca240a3f546a78ac4b.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.3/4918794123791398_iPhone8,1_n71map_12.1.3-16D39_676c567f44ba05c7ddb0b2ca240a3f546a78ac4b.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.3;Wed Feb 27 15:24:35 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_693695466436af8cc92775be3061b7addaaf78e4.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.3/5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_693695466436af8cc92775be3061b7addaaf78e4.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.3;Wed Feb 27 15:24:37 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_6aa9b592bc23c1c05f942e0f1b75b6ae2f924863.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.3/5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_6aa9b592bc23c1c05f942e0f1b75b6ae2f924863.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.3;Wed Feb 27 15:24:39 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.3-16D39_c06e66d5b74aa3ac226920bc7906fb0614fafe3a.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.3/6286902831272_iPhone8,1_n71ap_12.1.3-16D39_c06e66d5b74aa3ac226920bc7906fb0614fafe3a.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.3;Wed Feb 27 15:24:40 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.3-16D39_81c5046048bd0d20647887912db09b7e5f2bdf34.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.3/3915126213356_iPhone8,1_n71ap_12.1.3-16D39_81c5046048bd0d20647887912db09b7e5f2bdf34.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.3;Wed Feb 27 15:24:42 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.3-16D39_c471a28e5cdc8e0dd7764eae92f6d331c912a4eb.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.3/4903967378216_iPhone8,1_n71ap_12.1.3-16D39_c471a28e5cdc8e0dd7764eae92f6d331c912a4eb.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.3;Wed Feb 27 15:24:44 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.3-16D39_af1c306b4b79e060537b540ae4825819772f57db.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.3/8537450375840294_iPhone8,1_n71map_12.1.3-16D39_af1c306b4b79e060537b540ae4825819772f57db.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.3;Wed Feb 27 15:24:45 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.3-16D39_14a3144ad83c478acd4e0b5c56aa7cfe189e4d25.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.3/4615080403266598_iPhone8,1_n71map_12.1.3-16D39_14a3144ad83c478acd4e0b5c56aa7cfe189e4d25.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.3;Wed Feb 27 15:24:48 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.3-16D39_1e48b369369ce9f77b4a9a720dd1601b9df7e04a.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.3/7896306232632358_iPhone7,2_n61ap_12.1.3-16D39_1e48b369369ce9f77b4a9a720dd1601b9df7e04a.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.4;Wed Feb 27 15:24:50 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.4-16D57_eceaa1b409919ee8766cc84dc88747ec0526ceea.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.4/4918794123791398_iPhone8,1_n71map_12.1.4-16D57_eceaa1b409919ee8766cc84dc88747ec0526ceea.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.4;Wed Feb 27 15:24:52 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.4-16D57_5aa32cdc8d2eca540f50ec593f0aa48f67256178.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.4/5758263475359526_iPhone8,4_n69ap_12.1.4-16D57_5aa32cdc8d2eca540f50ec593f0aa48f67256178.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.4;Wed Feb 27 15:24:56 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.4-16D57_97c14f46e7ce63d2f57013ce07dc762d147e39a1.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.4/5085876948834342_iPhone7,2_n61ap_12.1.4-16D57_97c14f46e7ce63d2f57013ce07dc762d147e39a1.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.4;Wed Feb 27 15:24:58 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.4-16D57_3baf6bf918918f27c67cae8e34a4c0d4bcd9f7a9.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.4/6286902831272_iPhone8,1_n71ap_12.1.4-16D57_3baf6bf918918f27c67cae8e34a4c0d4bcd9f7a9.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.4;Wed Feb 27 15:25:00 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.4-16D57_20f18473d34681225da52803541321e418af74d3.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.4/3915126213356_iPhone8,1_n71ap_12.1.4-16D57_20f18473d34681225da52803541321e418af74d3.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.4;Wed Feb 27 15:25:02 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.4-16D57_1ba96e56a5b00d8143b820fd491aed78337ff51a.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.4/4903967378216_iPhone8,1_n71ap_12.1.4-16D57_1ba96e56a5b00d8143b820fd491aed78337ff51a.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.4;Wed Feb 27 15:25:04 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.4-16D57_ff5b9abb3fe0195846a63d1ee0cfd6930d04196b.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.4/8537450375840294_iPhone8,1_n71map_12.1.4-16D57_ff5b9abb3fe0195846a63d1ee0cfd6930d04196b.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.4;Wed Feb 27 15:25:06 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.4-16D57_31c5adc149b0d7cce97b62bd5063d49bb537123e.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.4/4615080403266598_iPhone8,1_n71map_12.1.4-16D57_31c5adc149b0d7cce97b62bd5063d49bb537123e.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.4;Wed Feb 27 15:25:08 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_ac48a56931589380a34703b1db67ffcf88248cfa.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.4/7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_ac48a56931589380a34703b1db67ffcf88248cfa.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.3;Thu Mar  7 11:58:26 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.3-16D39_bb25a91b089aad8a9bb56f06a5a3e840cef81e0f.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.3/4918794123791398_iPhone8,1_n71map_12.1.3-16D39_bb25a91b089aad8a9bb56f06a5a3e840cef81e0f.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.3;Thu Mar  7 11:58:29 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_ef43e2c119735756a9d40cb39da0454e2b46da4f.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.3/5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_ef43e2c119735756a9d40cb39da0454e2b46da4f.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.3;Thu Mar  7 11:58:31 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_7577a8207857b83e2d933f09202f14f76457f29a.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.3/5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_7577a8207857b83e2d933f09202f14f76457f29a.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.3;Thu Mar  7 11:58:32 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.3-16D39_d620a823e733449ed822fdcb651a7c5188c305e7.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.3/6286902831272_iPhone8,1_n71ap_12.1.3-16D39_d620a823e733449ed822fdcb651a7c5188c305e7.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.3;Thu Mar  7 11:58:34 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.3-16D39_80770521240070e61e9781e1dffbc7dae6a992a5.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.3/3915126213356_iPhone8,1_n71ap_12.1.3-16D39_80770521240070e61e9781e1dffbc7dae6a992a5.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.3;Thu Mar  7 11:58:36 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.3-16D39_55c51b12eef57f7c45f305cb7a50d251f5f295ef.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.3/4903967378216_iPhone8,1_n71ap_12.1.3-16D39_55c51b12eef57f7c45f305cb7a50d251f5f295ef.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.3;Thu Mar  7 11:58:37 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.3-16D39_10bc1db031db7ef38d74f726adf09a151f1537da.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.3/8537450375840294_iPhone8,1_n71map_12.1.3-16D39_10bc1db031db7ef38d74f726adf09a151f1537da.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.3;Thu Mar  7 11:58:39 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.3-16D39_a78f43daaf9bc12f0a28ad345b016d33ce86291d.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.3/4615080403266598_iPhone8,1_n71map_12.1.3-16D39_a78f43daaf9bc12f0a28ad345b016d33ce86291d.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.3;Thu Mar  7 11:58:40 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.3-16D39_e367b45b2393c14712eb87a3f4920ec2c4711e23.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.3/7896306232632358_iPhone7,2_n61ap_12.1.3-16D39_e367b45b2393c14712eb87a3f4920ec2c4711e23.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.4;Thu Mar  7 11:58:42 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.4-16D57_0eafdd3d698cb8e9d465c0b4f8c436c46d32e1ac.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.4/4918794123791398_iPhone8,1_n71map_12.1.4-16D57_0eafdd3d698cb8e9d465c0b4f8c436c46d32e1ac.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.4;Thu Mar  7 11:58:44 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.4-16D57_27da22fc37cd7737739871fcc4a9d9b8ea6436ca.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.4/5758263475359526_iPhone8,4_n69ap_12.1.4-16D57_27da22fc37cd7737739871fcc4a9d9b8ea6436ca.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.4;Thu Mar  7 11:58:46 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.4-16D57_118e073b774d1ea2d41ef4d0312da7ce76fabb33.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.4/5085876948834342_iPhone7,2_n61ap_12.1.4-16D57_118e073b774d1ea2d41ef4d0312da7ce76fabb33.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.4;Thu Mar  7 11:58:47 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.4-16D57_76e3fc66929bfd99d0f75a23db79429eeccee0a3.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.4/6286902831272_iPhone8,1_n71ap_12.1.4-16D57_76e3fc66929bfd99d0f75a23db79429eeccee0a3.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.4;Thu Mar  7 11:58:49 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.4-16D57_4bcc83f0cd8dd0b3778e1cb1d459499f26a2a266.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.4/3915126213356_iPhone8,1_n71ap_12.1.4-16D57_4bcc83f0cd8dd0b3778e1cb1d459499f26a2a266.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.4;Thu Mar  7 11:58:50 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.4-16D57_14727c35f277835a0da1ab09b8947b88a5fc5ed9.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.4/4903967378216_iPhone8,1_n71ap_12.1.4-16D57_14727c35f277835a0da1ab09b8947b88a5fc5ed9.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.4;Thu Mar  7 11:58:52 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.4-16D57_19fc7b79a1a83de2b9d937224f324cd01c8cea3e.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.4/8537450375840294_iPhone8,1_n71map_12.1.4-16D57_19fc7b79a1a83de2b9d937224f324cd01c8cea3e.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.4;Thu Mar  7 11:58:54 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.4-16D57_94551cc408e27d46b5e66f2f05c27edd27b268f6.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.4/4615080403266598_iPhone8,1_n71map_12.1.4-16D57_94551cc408e27d46b5e66f2f05c27edd27b268f6.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.4;Thu Mar  7 11:58:55 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_6351b9e2781fe0287ce70f5714f1028f8ac54e18.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.4/7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_6351b9e2781fe0287ce70f5714f1028f8ac54e18.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.3;Wed Apr  3 11:00:39 CEST 2019;4918794123791398_iPhone8,1_n71map_12.1.3-16D39_bb25a91b089aad8a9bb56f06a5a3e840cef81e0f.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.3/4918794123791398_iPhone8,1_n71map_12.1.3-16D39_bb25a91b089aad8a9bb56f06a5a3e840cef81e0f.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.3;Wed Apr  3 11:00:41 CEST 2019;5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_ef43e2c119735756a9d40cb39da0454e2b46da4f.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.3/5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_ef43e2c119735756a9d40cb39da0454e2b46da4f.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.3;Wed Apr  3 11:01:08 CEST 2019;5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_7577a8207857b83e2d933f09202f14f76457f29a.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.3/5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_7577a8207857b83e2d933f09202f14f76457f29a.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.3;Wed Apr  3 11:01:09 CEST 2019;6286902831272_iPhone8,1_n71ap_12.1.3-16D39_d620a823e733449ed822fdcb651a7c5188c305e7.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.3/6286902831272_iPhone8,1_n71ap_12.1.3-16D39_d620a823e733449ed822fdcb651a7c5188c305e7.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.3;Wed Apr  3 11:01:09 CEST 2019;3915126213356_iPhone8,1_n71ap_12.1.3-16D39_80770521240070e61e9781e1dffbc7dae6a992a5.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.3/3915126213356_iPhone8,1_n71ap_12.1.3-16D39_80770521240070e61e9781e1dffbc7dae6a992a5.shsh2;;;;;
